"scenario","seed","obstacles","delta","n","c","p_hat","wilson_upper_95","upper_to_delta","directional_surrogate","surrogate_covers_wilson"
"bent-distal-delta-0.001","6100","1","0.001","25000","7","0.00028","0.0005163228941458134","0.5163228941458134","0.0005499999999999949","True"
"folded-distal-delta-0.001","6101","1","0.001","25000","5","0.0002","0.00041080825232391597","0.41080825232391593","0.0005499999999999949","True"
"near-singular-middle-delta-0.001","6102","1","0.001","25000","3","0.00012","0.00030022526216839587","0.30022526216839585","0.0005499999999999949","True"
"upright-proximal-delta-0.001","6103","1","0.001","25000","7","0.00028","0.0005163228941458134","0.5163228941458134","0.0005499999999999949","True"
"zigzag-distal-delta-0.001","6104","1","0.001","25000","5","0.0002","0.00041080825232391597","0.41080825232391593","0.0005499999999999949","True"
"asymmetric-middle-delta-0.001","6105","1","0.001","25000","10","0.0004","0.0006689788486685618","0.6689788486685618","0.0005499999999999949","False"
"bent-two-obstacle-delta-0.001","6106","2","0.001","25000","4","0.00016","0.0003563420973554809","0.3563420973554809","0.0005499999999999394","True"
"folded-two-obstacle-delta-0.001","6107","2","0.001","25000","2","8E-05","0.0002417184991286652","0.2417184991286652","0.0005499999999999394","True"
"bent-distal-delta-0.01","6200","1","0.01","25000","78","0.00312","0.0037563932296763016","0.37563932296763014","0.005499999999999949","True"
"folded-distal-delta-0.01","6201","1","0.01","25000","60","0.0024","0.0029656852197895004","0.29656852197895006","0.005499999999999949","True"
"near-singular-middle-delta-0.01","6202","1","0.01","25000","60","0.0024","0.0029656852197895004","0.29656852197895006","0.005499999999999949","True"
"upright-proximal-delta-0.01","6203","1","0.01","25000","67","0.00268","0.0032742978703179455","0.32742978703179454","0.005499999999999949","True"
"zigzag-distal-delta-0.01","6204","1","0.01","25000","55","0.0022","0.0027442137396002817","0.2744213739600282","0.005499999999999949","True"
"asymmetric-middle-delta-0.01","6205","1","0.01","25000","70","0.0028","0.003406101191257446","0.34061011912574457","0.005499999999999949","True"
"bent-two-obstacle-delta-0.01","6206","2","0.01","25000","55","0.0022","0.0027442137396002817","0.2744213739600282","0.005499999999999949","True"
"folded-two-obstacle-delta-0.01","6207","2","0.01","25000","58","0.00232","0.002877207802088656","0.2877207802088656","0.005499999999999949","True"
"bent-distal-delta-0.05","6300","1","0.05","25000","488","0.01952","0.021012038473055113","0.4202407694611022","0.027499999999999858","True"
"folded-distal-delta-0.05","6301","1","0.05","25000","452","0.01808","0.019519154122453006","0.3903830824490601","0.027499999999999858","True"
"near-singular-middle-delta-0.05","6302","1","0.05","25000","418","0.01672","0.018107119881087482","0.3621423976217496","0.027499999999999858","True"
"upright-proximal-delta-0.05","6303","1","0.05","25000","430","0.0172","0.018605731530438496","0.37211463060876987","0.027499999999999747","True"
"zigzag-distal-delta-0.05","6304","1","0.05","25000","455","0.0182","0.019643644531431664","0.3928728906286333","0.02749999999999997","True"
"asymmetric-middle-delta-0.05","6305","1","0.05","25000","461","0.01844","0.019892578568808297","0.3978515713761659","0.027499999999999858","True"
"bent-two-obstacle-delta-0.05","6306","2","0.05","25000","428","0.01712","0.0185226487839209","0.37045297567841795","0.02749999999999997","True"
"folded-two-obstacle-delta-0.05","6307","2","0.05","25000","377","0.01508","0.016401312439491746","0.3280262487898349","0.02749999999999997","True"
